143;17;Черная повседневная сумка;1200;;PROGRES;25084-01 ;Сумка изготовлена из нейлона. Размеры - 26x19x10. Объем - 5.;Япония
144;17;Черная повседневная сумка;1200;;PROGRES;25087-01 ;Сумка изготовлена из нейлона. Размеры - 30x28x16. Объем - 13,5.;Япония
145;17;Черная дорожная сумка;1400;;PROGRES;25088-01 ;Сумка изготовлена из нейлона. Размеры - 40x28x15. Объем - 16,8.;Япония
146;17;Черная дорожная сумка;1800;;PROGRES;25089-01 ;Сумка изготовлена из нейлона. Размеры - 45x30x20. Объем - 27.;Япония
147;17;Черная дорожная сумка;2000;;PROGRES;25090-01 ;Сумка изготовлена из нейлона. Размеры - 50x33x23. Объем - 38.;Япония
148;17;Черная сумка;4500;;PROGRES;28331-01 ;Сумка имеет размеры 21x23x6. Объем - 2,9.;Япония
149;17;Черная сумка;6000;;PROGRES;28333-01 ;Сумка имеет размеры 30x23x12. Объем - 8,3.;Япония
150;17;Черная сумка;7000;;PROGRES;28335-01 ;Сумка имеет размеры 36x28x15. Объем - 15.;Япония
151;17;Черная сумка;7000;;PROGRES;28336-01 ;Сумка имеет размеры 42x30x16. Объем - 20.;Япония
152;17;Золотисто-коричневая сумка;7000;;PROGRES;28336-05 ;Сумка имеет размеры 42x30x16. Объем - 20.;Япония
153;17;Черная сумка;7000;;PROGRES;28337-01 ;Сумка имеет размеры 47x33x20. Объем - 31.;Япония
154;17;Черный саквояж;6500;;PROGRES;28571-01 ;Сумка имеет размеры 34x32x12. Объем - 13.;Япония
155;17;Зеленый саквояж;6500;;PROGRES;28571-04 ;Сумка имеет размеры 34x32x12. Объем - 13.;Япония
156;17;Черный саквояж;7000;;PROGRES;28573-01 ;Сумка имеет размеры 38x34x15. Объем - 29,5.;Япония
157;17;Зеленый саквояж;7000;;PROGRES;28573-04 ;Сумка имеет размеры 38x34x15. Объем - 29,5.;Япония
158;17;Черный саквояж;6000;;PROGRES;28574-01 ;Сумка имеет размеры 42x36x20. Объем - 30.;Япония
159;17;Бежевая сумка;3000;;PROGRES;28751-05 ;Сумка имеет размеры 27x17x8. Объем - 3,6.;Япония
160;17;Синяя сумка;5000;;PROGRES;28752-03;Сумка имеет размеры 48x40x14. Объем - 26,5.;Япония
161;17;Бежевая сумка;5000;;PROGRES;28752-05 ;Сумка имеет размеры 48x40x14. Объем - 26,5.;Япония
